Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
14-10-2010,1145.1,1159,1140.1,1144.25,1145.35,18578,213.71
15-10-2010,1148.8,1162.9,1126.4,1130,1139.35,52674,604.96
18-10-2010,1140,1142.9,1092.25,1126,1121.7,47738,531.1
19-10-2010,1119,1156.5,1119,1126.2,1133,27581,314.09
20-10-2010,1130,1147.5,1122,1129.6,1129.6,24288,275.11
21-10-2010,1133,1154,1133,1145.1,1146.35,26001,298.05
22-10-2010,1149.8,1162.9,1135,1139.5,1142.45,13474,154.57
25-10-2010,1147.05,1147.05,1128,1130,1130.15,21941,249.62
26-10-2010,1126.05,1138,1126.05,1131.7,1131.4,7226,81.8
27-10-2010,1135.1,1139.85,1101,1135,1124.75,40538,454.11
28-10-2010,1120.5,1138.8,1085,1102,1094.15,45420,500.27
29-10-2010,1095,1140,1076,1119.9,1123.65,35255,391.69
01-11-2010,1104,1121.5,1092.6,1115,1110.85,9789,108.9
02-11-2010,1114.2,1117,1095.55,1102.5,1100.9,13217,146.01
03-11-2010,1104.2,1147,1104.2,1134,1128.95,43186,489.54
04-11-2010,1150,1165,1125.15,1140,1136.15,22868,260.16
05-11-2010,1160,1160,1116.6,1132,1133.85,2873,32.61
08-11-2010,1135,1148.75,1123,1135,1135.3,18007,204.94
09-11-2010,1132,1145.45,1115.05,1120.25,1120.75,18950,213.32
10-11-2010,1220,1220,1110,1125,1127.6,8076,91.07
11-11-2010,1122.05,1166.65,1122.05,1132,1125.85,92853,1061.67
12-11-2010,1140,1158,1090.05,1095,1103.55,78207,885.97
15-11-2010,1108,1128,1091.7,1099.5,1099.85,44223,486.41
16-11-2010,1114.4,1120,1082.65,1101.1,1104,52947,581.88
18-11-2010,1105.85,1105.85,1058,1101.5,1100.45,26813,291.73
19-11-2010,1080.1,1117,1073.3,1082,1093.5,14806,163.61
22-11-2010,1093.05,1100,1080,1086.3,1085.85,84690,921.09
23-11-2010,1081,1094,1073.35,1085,1077.65,18261,197.66
24-11-2010,1085.85,1093.9,1056,1057,1065,8545,91.77
25-11-2010,1066,1084,1020.1,1031.2,1041.5,33144,346.65
26-11-2010,1039,1049.9,953.1,987,990.7,55183,544.34
29-11-2010,987,994.6,970,977.55,980.2,25597,251.28
30-11-2010,975,991.75,957.1,985.95,982.9,26878,263.35
01-12-2010,998,1025,986,1017.75,1018.4,74580,748.61
02-12-2010,1028.95,1037,1020,1023,1026.15,11686,120.15
03-12-2010,1022,1028,1005.2,1013.2,1009.2,6531,66.14
06-12-2010,1012,1029,1000.15,1004,1005.6,7646,77.52
07-12-2010,1005,1039,996,1015.15,1023.45,20920,212.17
08-12-2010,1023.5,1026,998.15,1005,1004.95,12005,121
09-12-2010,1014.8,1014.8,995.05,1002.9,1000.3,32187,322.1
10-12-2010,1012.6,1012.6,990,998,998,16192,162.07
13-12-2010,1000.05,1008,981.05,1000,999.7,11897,118.98
14-12-2010,1009,1019,1000,1004.05,1004.95,37018,371.38
15-12-2010,1001.05,1023.9,989,994.5,991.8,23830,238.3
16-12-2010,990,1000,985,990,989,13123,130.09
20-12-2010,995,999.9,985.2,995,992.3,9313,92.49
21-12-2010,1004,1004,995,999.5,997.75,5675,56.69
22-12-2010,1000,1009.45,990.1,991,992.65,6873,68.64
23-12-2010,993,1003.95,990.1,994,993.1,11993,119.25
24-12-2010,986,998.95,986,995,994.3,10880,108.18
27-12-2010,999,999.55,975.1,979.95,979.55,31470,309.5
28-12-2010,978,992.85,972,978,977.6,41919,409.86
29-12-2010,979.3,988.6,975,986,984.05,15744,154.61
30-12-2010,986,1005,982.15,1001,998.8,21031,208.74
31-12-2010,999,1048,999,1035.8,1032.25,63910,653.82
03-01-2011,1039.95,1052.6,1025,1028,1028.2,24200,249.91
04-01-2011,1038.2,1040,1019.75,1021,1023.75,16249,166.62
05-01-2011,1025,1031,1004,1007,1006.65,13830,139.9
06-01-2011,1019.75,1029.8,990.2,994,993.95,47200,472.75
07-01-2011,1003,1005,984,993,987.05,26697,263.82
10-01-2011,989.95,990,965,968,967.25,14575,141.87
11-01-2011,965.1,974,940.35,971,962.2,41217,392.85
12-01-2011,950,974,948.05,970,967.35,27053,260.71
13-01-2011,970,994,950.05,955,954.15,32189,312.17
14-01-2011,960.25,968.9,945,946,949.7,23280,223.47
17-01-2011,945,957,931,945,945.2,55856,527.5
18-01-2011,962,962,925.15,940,939.9,42006,394.32
19-01-2011,938,953,932.2,940,940.8,9129,86.18
20-01-2011,931.05,950,931.05,944,942.85,6186,58.27
21-01-2011,938,963,937.5,948.2,949.15,28941,275.43
24-01-2011,950,961,935.1,944.85,943.55,21976,208.3
25-01-2011,950,952,923,923,929.35,36163,339.54
27-01-2011,928.25,930,901.05,911.75,905.5,78927,720.81
28-01-2011,910,915.85,875.15,886.85,887.7,27893,249.55
31-01-2011,880,880,857.05,869,870.1,25589,222.42
01-02-2011,856,878.75,817.4,820,829.3,33464,284.54
02-02-2011,844.25,849.9,810,810.25,819.7,60490,503.41
03-02-2011,835,835,797,811.5,813.95,35633,288.87
04-02-2011,825,825,790,796.15,794.65,39220,316.49
07-02-2011,820,820,756,759,759.85,75767,582.38
08-02-2011,776,776,659,671.6,675.3,722501,4944.41
09-02-2011,673,677,570,585,584.85,2191557,13493.69
10-02-2011,579.95,615.25,576,592.15,589.2,751123,4485.9
11-02-2011,602.45,625.1,586,620,614.45,455514,2752.53
14-02-2011,626,655.15,621.2,651,651,342545,2191.13
15-02-2011,657,677.05,645,657.85,660.7,296459,1964.35
16-02-2011,660,680,655.7,666,668.75,179817,1204.34
17-02-2011,669,683,665,678.5,679.65,158677,1075.27
18-02-2011,662.6,694.25,651.15,665,658.55,180834,1221.24
21-02-2011,670,673.7,652.35,670.8,668,80611,532.72
22-02-2011,669,685.5,658.15,664.45,663.95,148382,994.9
23-02-2011,665,673.3,658.95,660.05,660.4,47116,313.6
24-02-2011,664.9,667.85,604,632,633.6,448689,2809.83
25-02-2011,640,663.9,601,612.1,613.5,872955,5477.3
28-02-2011,616.1,627,605.35,620,620.45,142693,883.58
01-03-2011,629,645.5,620,641,642.85,137435,875.3
03-03-2011,640,657,628.6,646.5,646.6,86200,557.82
04-03-2011,644,659.6,641.3,642.1,643.7,51726,336.89
07-03-2011,625.6,642.3,620,639.8,637.55,48800,309.55
08-03-2011,640.05,651,636.25,640,641,57596,370.59
09-03-2011,642.5,672,642.5,663.5,662.45,93729,621.61
10-03-2011,660,661.8,646,653.6,654.2,42858,280.98
11-03-2011,650,670.6,640,666.8,665.95,132173,871.47
14-03-2011,667,676,663.1,668.5,671.45,87498,586.81
15-03-2011,650,689,635.2,673,673.4,131672,884.63
16-03-2011,687.95,687.95,671.85,673.95,675.4,53916,364.63
17-03-2011,674,676.8,656.55,675.1,669.95,51642,345.28
18-03-2011,660.15,679.85,652.4,654,660.05,129300,859.72
21-03-2011,660.15,667,650.25,662,662.6,43944,290.47
22-03-2011,669.7,669.7,655,662,661.45,108016,713.48
23-03-2011,669.9,687.5,664.95,677.2,679.95,149323,1015.8
24-03-2011,680,704.95,675,688.45,685.9,104548,724.8
25-03-2011,698.3,708,688,699.25,698.3,116766,819.58
28-03-2011,680.6,709.4,680.6,687.5,692.15,72175,499.54
